# age_gyr Z_sur Teff Log_g LogL_lsun Av feh initial_mass Label G G_BP G_RP RVS
0.01 0.022055619999999998 3477.719791271952 4.200078824716261 -1.1615127106077834 0.0 0.09 0.3027866959659283 0.00 8.56537 9.87314 7.43874 6.98150
0.01 0.022055619999999998 3487.2919685156617 4.201133372363345 -1.1489358249349864 0.0 0.09 0.3098754092412056 0.00 8.52627 9.82612 7.40280 6.94557
0.01 0.022055619999999998 3496.495870767561 4.202403895763581 -1.1370672936098245 0.0 0.09 0.31672694225873016 0.00 8.48920 9.78143 7.36878 6.91157
0.01 0.022055619999999998 3505.5761562101875 4.203677912000176 -1.1253078575082114 0.0 0.09 0.3235526115252026 0.00 8.45252 9.73724 7.33510 6.87790
0.01 0.022055619999999998 3514.3189851946504 4.205168630531698 -1.1142285289040559 0.0 0.09 0.33015021123908517 0.00 8.41778 9.69525 7.30325 6.84606
0.01 0.02205562 3523.1344082531496 4.206561249570105 -1.1029013446386604 0.0 0.09 0.33684763087704506 0.00 8.38239 9.65259 7.27078 6.81359
0.01 0.02205562 3531.665193866938 4.208131551252256 -1.092136353154655 0.0 0.09 0.3433580557392832 0.00 8.34861 9.61175 7.23981 6.78264
0.01 0.022055619999999998 3540.0363986619363 4.209735170600823 -1.0815639376819766 0.0 0.09 0.349811801559925 0.00 8.31544 9.57167 7.20940 6.75224
0.01 0.02205562 3548.1333068751637 4.211491827878153 -1.0714989862781146 0.0 0.09 0.35609712832220297 0.00 8.28373 9.53325 7.18037 6.72323
0.01 0.02205562 3556.1614251222177 4.213282601323355 -1.0615465293078403 0.0 0.09 0.3623538536870877 0.00 8.25182 9.49422 7.15150 6.69467
0.01 0.02205562 3564.1005893381916 4.215172155963767 -1.0518400606156482 0.0 0.09 0.36853454015567666 0.00 8.22061 9.45595 7.12327 6.66676
0.01 0.02205562 3571.9402453094817 4.217178349673242 -1.0424195786997918 0.0 0.09 0.3746253210428361 0.00 8.19018 9.41856 7.09580 6.63960
0.01 0.02205562 3579.675495944153 4.219245450871883 -1.033189663576994 0.0 0.09 0.38065957997159333 0.00 8.16031 9.38183 7.06885 6.61296
0.01 0.022055619999999998 3587.267354465998 4.221413889521048 -1.0242570274688605 0.0 0.09 0.38659907430434876 0.00 8.13130 9.34608 7.04271 6.58712
0.01 0.022055619999999998 3594.7144780084063 4.22366494804831 -1.0155887739019247 0.0 0.09 0.39245529020423703 0.00 8.10306 9.31123 7.01729 6.56200
0.01 0.022055619999999998 3601.9065596953888 4.2260617676676455 -1.0073951654321944 0.0 0.09 0.3981526867970236 0.00 8.07621 9.27798 6.99315 6.53816
0.01 0.022055619999999998 3611.069517524916 4.227404336370098 -0.9968609228825998 0.0 0.09 0.40531954494482464 0.00 8.04211 9.23596 6.96242 6.50783
0.01 0.02205562 3620.9396907625296 4.228314483026447 -0.9855366654638656 0.0 0.09 0.4130510870785721 0.00 8.00556 9.19097 6.92947 6.47530
0.01 0.022055619999999998 3630.793070510939 4.2291290320108645 -0.9740924361680059 0.0 0.09 0.4208294003975929 0.00 7.96876 9.14578 6.89625 6.44250
0.01 0.02205562 3640.2037023008074 4.230156506822475 -0.9633698955942303 0.0 0.09 0.4283139383634873 0.00 7.93339 9.10188 6.86477 6.41185
0.01 0.02205562 3649.4738105125525 4.231215289764286 -0.9528305423420435 0.0 0.09 0.4357227455560968 0.00 7.89863 9.05872 6.83381 6.38173
0.01 0.02205562 3658.278729307375 4.23252929634331 -0.9430956160742273 0.0 0.09 0.4428043323467123 0.00 7.86626 9.01837 6.80507 6.35377
0.01 0.02205562 3666.875125934666 4.233944979034712 -0.9337091415238548 0.0 0.09 0.4497435972533398 0.00 7.83495 8.97927 6.77730 6.32677
0.01 0.02205562 3675.0759294292807 4.235540564209 -0.9249444517370402 0.0 0.09 0.45642969118392346 0.00 7.80553 8.94242 6.75125 6.30146
0.01 0.02205562 3683.1849683488854 4.237073131006455 -0.9161648448664492 0.0 0.09 0.46311972919012345 0.00 7.77618 8.90575 6.72523 6.27618
0.01 0.022055619999999998 3690.9942487106277 4.238701940575394 -0.9077924031496571 0.0 0.09 0.4696431908645303 0.00 7.74812 8.87063 6.70037 6.25202
0.01 0.02205562 3698.5254025804625 4.240493236113169 -0.8999161080799075 0.0 0.09 0.4759651818697031 0.00 7.72152 8.83724 6.67687 6.22920
0.01 0.022055619999999998 3705.749032213784 4.242462038247727 -0.8925820889637838 0.0 0.09 0.48206696420723405 0.00 7.69654 8.80572 6.65486 6.20785
