# age_gyr Z_sur Teff Log_g LogL_lsun Av feh initial_mass Label G G_BP G_RP RVS
0.01 0.01834654 3683.4162231679456 4.240555374765082 -0.9365818221759227 0.0 0.03 0.44553248778940163 0.00 7.79673 8.90050 6.75781 6.31007
0.01 0.018346539999999998 3691.7003002289266 4.242029357116154 -0.9276135197566784 0.0 0.03 0.4522807322225843 0.00 7.76726 8.86403 6.73159 6.28486
0.01 0.01834654 3699.912891196672 4.24342284342905 -0.9185876941897393 0.0 0.03 0.459048925182858 0.00 7.73774 8.82759 6.70528 6.25955
0.01 0.018346539999999998 3707.83419526764 4.244905193089739 -0.9099506990771313 0.0 0.03 0.465657233938425 0.00 7.70943 8.79261 6.68007 6.23530
0.01 0.018346539999999998 3715.4519398585808 4.246561530453427 -0.9018484542827159 0.0 0.03 0.4720479185532559 0.00 7.68270 8.75947 6.65632 6.21248
0.01 0.018346539999999998 3722.7307863916094 4.248407954398856 -0.8943330531551215 0.0 0.03 0.4781999162062169 0.00 7.65789 8.72890 6.63436 6.19177
0.01 0.018346539999999998 3729.753791525422 4.250371258383221 -0.8872194619861994 0.0 0.03 0.48418770468062483 0.00 7.63429 8.69974 6.61351 6.17213
0.01 0.018346539999999998 3736.808455739906 4.2522684163342825 -0.8799863234683372 0.0 0.03 0.49022175779636035 0.00 7.61040 8.67028 6.59236 6.15219
0.01 0.018346539999999998 3743.4495310493267 4.2543761146210475 -0.8734276710092634 0.0 0.03 0.4959814990155377 0.00 7.58850 8.64314 6.57305 6.13403
0.01 0.018346539999999998 3755.8252147177022 4.256933430724984 -0.8609764514458754 0.0 0.03 0.5067953417169623 0.00 7.54736 8.59238 6.53667 6.09977
0.01 0.018346539999999998 3782.5636424825416 4.260587981572879 -0.8339285347826874 0.0 0.03 0.5300066203591804 0.00 7.45855 8.48306 6.45800 6.02564
0.01 0.01834654 3810.448515669477 4.264192744659512 -0.8056946976798999 0.0 0.03 0.554102201325437 0.00 7.36640 8.37032 6.37627 5.94897
0.01 0.018346539999999995 3838.3656661052983 4.267870859110518 -0.7776248899703077 0.0 0.03 0.5781823151134987 0.00 7.27550 8.26025 6.29555 5.87411
0.01 0.018346539999999998 3893.9020285505767 4.273875573317986 -0.7238287836365844 0.0 0.03 0.6262456361553448 0.00 7.10043 8.04767 6.14050 5.73070
0.01 0.01834654 3931.8370377724054 4.277760676330124 -0.688820285227123 0.0 0.03 0.6591847085601293 0.00 6.98522 7.90781 6.03906 5.63839
0.01 0.018346539999999998 3974.36885944281 4.2825277272470865 -0.6503131889932834 0.0 0.03 0.695905679196388 0.00 6.85836 7.75373 5.92743 5.53685
0.01 0.018346539999999998 3998.9216186095637 4.283168207728412 -0.6284253588280051 0.0 0.03 0.7156718567800274 0.00 6.78743 7.66826 5.86490 5.48026
0.01 0.01834654 4023.159883993973 4.2838374252972695 -0.6071636557838772 0.0 0.03 0.7353871965181986 0.00 6.71877 7.58571 5.80439 5.42564
