# age_gyr Z_sur Teff Log_g LogL_lsun Av feh initial_mass Label G G_BP G_RP RVS
0.01 0.016269877999999998 4419.459243743294 4.285863944958678 -0.3065280555924995 0.0 -0.01 1.0122594548903938 0.00 5.73354 6.39819 4.94698 4.66504
0.01 0.016269877999999998 4492.344846522626 4.2809264567545435 -0.25884529992933475 0.0 -0.01 1.0468777612123712 0.00 5.57864 6.21350 4.81284 4.54400
0.01 0.016269877999999998 4543.685142250009 4.278493727385453 -0.22524818321925794 0.0 -0.01 1.0744764143545393 0.00 5.47114 6.08638 4.71947 4.45838
0.01 0.016269877999999998 4594.377917895881 4.27709725477953 -0.19256593841064007 0.0 -0.01 1.1038289952494993 0.00 5.36793 5.96494 4.62971 4.37548
0.01 0.016269878 4779.008520718402 4.263554589153956 -0.08226448190608177 0.0 -0.01 1.178757610075413 0.00 5.02536 5.56335 4.33320 4.09869
0.01 0.016269878 4940.095390082709 4.247876345365095 0.013246761650410489 0.0 -0.01 1.2408942154008347 0.00 4.74137 5.23628 4.08542 3.86529
0.01 0.016269877999999998 5090.594264372246 4.230514374574026 0.10072990335924248 0.0 -0.01 1.2926418745032158 0.00 4.48799 4.94738 3.86338 3.65535
0.01 0.016269878 5173.590701704037 4.217219133653395 0.15110692249247965 0.0 -0.01 1.3199772061699588 0.00 4.34584 4.78762 3.73731 3.53557
0.01 0.016269878 5239.808476070492 4.205198826708827 0.19195516790054531 0.0 -0.01 1.3409019549906438 0.00 4.23181 4.66015 3.63572 3.43889
0.01 0.016269878 5300.128864806584 4.193886585688859 0.22904402511167432 0.0 -0.01 1.3592105057186736 0.00 4.12969 4.54648 3.54454 3.35206
0.01 0.016269878 5355.337307909679 4.183207078223043 0.26289623151185093 0.0 -0.01 1.3752774115736386 0.00 4.03672 4.44312 3.46148 3.27296
0.01 0.016269878 5406.188246742083 4.173002122396684 0.2940938751466395 0.0 -0.01 1.3894933238808493 0.00 3.95185 4.34881 3.38578 3.20097
0.01 0.016269877999999998 5452.423047840703 4.1629695900063926 0.32293751868989107 0.0 -0.01 1.4021227504510445 0.00 3.87383 4.26231 3.31608 3.13463
0.01 0.016269878 5490.910029618168 4.152295755755958 0.3491229413586619 0.0 -0.01 1.4131110995234815 0.00 3.80350 4.18497 3.25264 3.07397
0.01 0.016269878 5527.6060801342055 4.141852337444531 0.3741804452791023 0.0 -0.01 1.4232670961599887 0.50 3.73741 4.11247 3.19294 3.01695
0.01 0.016269878 5563.105055071182 4.131614340473549 0.39840015278728236 0.0 -0.01 1.4328155193025955 0.50 3.67378 4.04266 3.13550 2.96216
0.01 0.016269878 5596.886052485246 4.1216271191413325 0.42153018281931376 0.0 -0.01 1.4415795591488576 0.50 3.61307 3.97612 3.08064 2.90981
0.01 0.016269878 5629.780830644073 4.111814415087771 0.4440090916823952 0.0 -0.01 1.4498767644251604 0.50 3.55418 3.91155 3.02751 2.85914
0.01 0.016269877999999998 5661.507556236941 4.102211152042904 0.46569211053914267 0.0 -0.01 1.4576107246882648 0.50 3.49769 3.84942 2.97686 2.81097
0.01 0.016269878 5692.414156271551 4.092762829708694 0.486790101025501 0.0 -0.01 1.4649266102009866 0.50 3.44273 3.78899 2.92756 2.76408
0.01 0.016269878 5722.493425318091 4.083475437101841 0.5073007111467516 0.0 -0.01 1.4718282956050772 0.50 3.38930 3.73026 2.87962 2.71847
0.01 0.016269878 5751.862682337118 4.074342277455123 0.5272841977417502 0.0 -0.01 1.4783612902351366 0.50 3.33724 3.67306 2.83290 2.67403
0.01 0.016269878 5780.675843707548 4.06538199548818 0.5467848207242543 0.0 -0.01 1.4845685865312488 0.50 3.28695 3.61794 2.78779 2.63107
0.01 0.016269877999999998 5809.046945430364 4.056544935054434 0.5659086623619256 0.0 -0.01 1.4905148723757784 0.50 3.23770 3.56398 2.74363 2.58900
0.01 0.016269877999999998 5837.084672163637 4.047928671371625 0.5845887835020083 0.0 -0.01 1.496186614504493 0.50 3.18961 3.51126 2.70053 2.54795
0.01 0.016269877999999998 5867.639473532609 4.038631562541521 0.6047638561055659 0.0 -0.01 1.5023748705549167 0.50 3.13768 3.45433 2.65402 2.50366
0.01 0.016269878 5904.76008048141 4.027981739069924 0.6284970955254072 0.0 -0.01 1.509967357915133 0.50 3.07674 3.38732 2.59974 2.45209
0.01 0.016269877999999998 5942.401071780745 4.017662607748939 0.6519502221797082 0.0 -0.01 1.517442467942539 0.50 3.01671 3.32116 2.54655 2.40166
0.01 0.016269877999999998 5980.817991331793 4.007571662683526 0.6753249089073832 0.0 -0.01 1.524896340712969 0.50 2.95687 3.25512 2.49361 2.35148
0.01 0.016269878 6019.9071048054475 3.997929801831676 0.6983368069767031 0.0 -0.01 1.532221744774633 0.50 2.89792 3.18994 2.44160 2.30225
0.01 0.016269878 6059.785376521215 3.988773004956487 0.7209840114257124 0.0 -0.01 1.5394307648564316 0.50 2.84047 3.12649 2.39108 2.25437
0.01 0.016269878 6100.5477154739365 3.9802185075498406 0.7431670520317175 0.0 -0.01 1.5465028235567666 0.50 2.78429 3.06426 2.34197 2.20789
0.01 0.016269878 6142.151903297065 3.9720479424177286 0.7651084322327765 0.0 -0.01 1.5535096337865528 0.50 2.72874 3.00254 2.29362 2.16218
0.01 0.016269877999999998 6184.779576526525 3.96444156499469 0.7866688026607689 0.0 -0.01 1.5604285721541797 0.50 2.67429 2.94185 2.24655 2.11780
0.01 0.016269878 6228.347401602713 3.9575084618534566 0.8076939449125309 0.0 -0.01 1.5671988902242664 0.50 2.62135 2.88264 2.20118 2.07514
0.01 0.016269877999999998 6272.896338139864 3.9511128449131516 0.8283431080468466 0.0 -0.01 1.5738792450029322 0.50 2.56938 2.82428 2.15691 2.03359
0.01 0.016269877999999998 6318.42797199378 3.9456576776433776 0.84817205775739 0.0 -0.01 1.5803371756359177 0.50 2.51956 2.76801 2.11496 1.99437
0.01 0.016269878 6365.108858408071 3.940849627389727 0.8675528844919854 0.0 -0.01 1.58670774969975 0.50 2.47121 2.71321 2.07469 1.95686
0.01 0.016269877999999998 6412.878535486852 3.936980271109209 0.8861444508332945 0.0 -0.01 1.5928924586269868 0.50 2.42487 2.66034 2.03655 1.92146
0.01 0.016269877999999998 6461.819999037181 3.9336828248448894 0.904367932413694 0.0 -0.01 1.599024246718183 0.50 2.37952 2.60840 1.99954 1.88718
0.01 0.016269878 6509.808572603029 3.933254991715142 0.919146468694354 0.0 -0.01 1.6046480057342278 1.00 2.34307 2.56585 1.97114 1.86144
0.01 0.016269878 6557.613827697285 3.9348133184189056 0.9316038975748343 0.0 -0.01 1.6096055654951065 1.00 2.31192 2.52909 1.94747 1.84025
0.01 0.016269877999999998 6606.591342336072 3.936607345680853 0.9440769768191241 0.0 -0.01 1.6146976261090449 1.00 2.28074 2.49221 1.92389 1.81919
0.01 0.016269878 6655.87981194951 3.939487322322108 0.955353455000357 0.0 -0.01 1.6194237549527866 1.00 2.25278 2.45867 1.90356 1.80143
0.01 0.016269877999999998 6705.769644727829 3.9430801108749387 0.9659357246197283 0.0 -0.01 1.6239906917405225 1.00 2.22659 2.42687 1.88501 1.78544
0.01 0.016269877999999998 6756.06565078316 3.9474584925159717 0.9756828572722138 0.0 -0.01 1.6283380141565929 1.00 2.20250 2.39720 1.86856 1.77155
0.01 0.016269878 6806.948136723792 3.9525090502291764 0.9847770452719489 0.0 -0.01 1.632555424963353 1.00 2.18049 2.36978 1.85434 1.76005
0.01 0.016269878 6858.164940290841 3.958215706228497 0.9931553422766688 0.0 -0.01 1.6365928743336158 1.00 2.16033 2.34426 1.84195 1.75040
0.01 0.016269878 6909.861516298481 3.964490820623799 1.0009590815684093 0.0 -0.01 1.6405170367549715 1.00 2.14164 2.32021 1.83103 1.74221
0.01 0.016269877999999998 6961.8816343290655 3.9713723079143852 1.0081009633140616 0.0 -0.01 1.6442931797815625 1.00 2.12483 2.29814 1.82203 1.73602
0.01 0.016269878 7014.448218134902 3.978790551508938 1.0147267462685279 0.0 -0.01 1.6480020281925563 1.00 2.10938 2.27744 1.81440 1.73123
0.01 0.016269878 7067.574434259493 3.986752815764044 1.0208345260606588 0.0 -0.01 1.6516578125263572 1.00 2.09525 2.25806 1.80809 1.72775
0.01 0.016269878 7121.452994334261 3.9952940772850614 1.0264493280543887 0.0 -0.01 1.655316069721439 1.00 2.08258 2.24021 1.80335 1.72596
0.01 0.016269878 7176.386740864955 4.0044975642593235 1.0315801787924261 0.0 -0.01 1.6590588927453502 1.00 2.07122 2.22363 1.80001 1.72561
0.01 0.016269878 7232.512230679618 4.014506619419828 1.0361252194918422 0.0 -0.01 1.6629357282017858 1.00 2.06139 2.20851 1.79828 1.72689
0.01 0.016269878 7290.193587302988 4.02558368627346 1.0399390185247128 0.0 -0.01 1.6670806674680876 1.00 2.05388 2.19577 1.79914 1.73099
0.01 0.016269877999999998 7349.275284534338 4.038069735360779 1.0426641359212712 0.0 -0.01 1.6715980150712317 1.00 2.04931 2.18594 1.80306 1.73820
0.01 0.016269877999999998 7408.833024742191 4.052329762474679 1.043755154816646 0.0 -0.01 1.676649021432886 1.00 2.04891 2.18033 1.81107 1.74946
0.01 0.016269877999999998 7464.696856253541 4.06827687293841 1.0423215485523873 0.0 -0.01 1.6822095900888405 1.00 2.05508 2.18176 1.82508 1.76647
0.01 0.016269878 7510.403117911281 4.084585986586654 1.0381139411156788 0.0 -0.01 1.6878961189381911 1.00 2.06787 2.19077 1.84411 1.78787
0.01 0.016269877999999998 7542.977710912375 4.099764383991477 1.031857072988029 0.0 -0.01 1.6932257026567472 1.00 2.08526 2.20556 1.86582 1.81116
0.01 0.016269877999999998 7564.572837417949 4.1133802986035555 1.024481807489917 0.0 -0.01 1.6980656267607863 1.00 2.10500 2.22364 1.88829 1.83460
0.01 0.016269877999999998 7576.029204079162 4.124670902595673 1.0169725191489596 0.0 -0.01 1.7025906083362974 1.00 2.12462 2.24245 1.90922 1.85596
0.01 0.016269878 7582.999805174285 4.134665515591079 1.0096818553278915 0.0 -0.01 1.7070474340402508 1.00 2.14348 2.26088 1.92879 1.87572
0.01 0.016269878 7586.2430136174435 4.1437902575339445 1.0023510334191055 0.0 -0.01 1.7112817334168497 1.00 2.16228 2.27956 1.94778 1.89470
0.01 0.016269877999999998 7586.837343972734 4.15226013885757 0.9950319772007455 0.0 -0.01 1.7153694956567045 1.00 2.18092 2.29830 1.96626 1.91303
0.01 0.016269878 7584.9335248458465 4.160057418148777 0.9877860023694659 0.0 -0.01 1.7193467009150316 1.00 2.19926 2.31694 1.98408 1.93058
0.01 0.016269878 7581.377738646328 4.167332975470299 0.9806790220367654 0.0 -0.01 1.7233072396647995 1.00 2.21717 2.33528 2.00127 1.94741
0.01 0.016269878 7576.877230427357 4.174345657491666 0.9736124969434861 0.0 -0.01 1.727245808647207 1.00 2.23494 2.35356 2.01818 1.96392
0.01 0.016269878 7571.210410887924 4.180722024721447 0.9669675409099283 0.0 -0.01 1.7313997322104784 1.00 2.25159 2.37081 2.03382 1.97910
0.01 0.016269878 7565.25536064698 4.1870555183958515 0.9602986094093701 0.0 -0.01 1.7355548988977954 1.00 2.26828 2.38813 2.04947 1.99428
0.01 0.016269878 7559.724105860039 4.192892247894713 0.9543733025289913 0.0 -0.01 1.7403165229664035 1.00 2.28311 2.40353 2.06333 2.00770
0.01 0.016269878 7553.873646236031 4.198681164855661 0.9484283424378548 0.0 -0.01 1.7451058284884304 1.00 2.29797 2.41900 2.07719 2.02110
0.01 0.016269878 7551.282034033961 4.204193260302166 0.9438473818558744 0.0 -0.01 1.7512581808318206 1.00 2.30954 2.43089 2.08822 2.03187
0.01 0.016269878 7549.486858135095 4.209578124294217 0.939689369425383 0.0 -0.01 1.7578643390063273 1.00 2.32007 2.44166 2.09833 2.04177
0.01 0.016269878 7565.098047589209 4.2153964112566324 0.9404353090388828 0.0 -0.01 1.7698517867977932 1.00 2.31901 2.43935 2.09934 2.04354
0.01 0.016269878 7706.620298107569 4.222083741724772 0.9748780804679525 0.0 -0.01 1.8061693961768028 1.00 2.23916 2.34767 2.03954 1.99167
0.01 0.016269878 7817.450151570409 4.224531928600338 1.0019284908411292 0.0 -0.01 1.8261597781436387 1.00 2.17709 2.27652 1.99316 1.95141
0.01 0.016269877999999998 7910.122261535345 4.227407040051345 1.0229107380051201 0.0 -0.01 1.8405758585595569 1.00 2.12987 2.22189 1.95898 1.92220
0.01 0.016269878 8000.189131622758 4.2307479219734105 1.0423315402626963 0.0 -0.01 1.8537500559101867 1.00 2.08718 2.17216 1.92885 1.89667
0.01 0.016269878 8088.6800018305275 4.234686138501746 1.060360403990555 0.0 -0.01 1.8659192943538345 1.00 2.04829 2.12648 1.90215 1.87433
0.01 0.016269878 8176.412845749626 4.2388180262163715 1.0776622751693878 0.0 -0.01 1.8773886088645457 1.00 2.01183 2.08350 1.87752 1.85383
0.01 0.016269877999999998 8265.262737847359 4.243932421968925 1.0939090202185697 0.0 -0.01 1.8884005980409417 1.00 1.97865 2.04391 1.85606 1.83637
0.01 0.016269877999999998 8353.374234924488 4.249185238114324 1.109531122632804 0.0 -0.01 1.8988508073369856 1.00 1.94751 2.00664 1.83621 1.82032
0.01 0.016269878 8439.768014893942 4.254057114691772 1.1250493456992827 0.0 -0.01 1.9100823177771946 1.00 1.91727 1.97064 1.81667 1.80429
0.01 0.016269878 8526.18460582416 4.259072373301665 1.1401943571517996 0.0 -0.01 1.9211405926731664 1.00 1.88824 1.93604 1.79806 1.78907
0.01 0.016269877999999998 8618.23516554075 4.2650425508157115 1.1555560252478394 0.0 -0.01 1.9331596532350208 1.00 1.86109 1.90360 1.78091 1.77510
0.01 0.016269878 8710.004229290424 4.27116507561861 1.1704068904618832 0.0 -0.01 1.9447113080285707 1.00 1.83506 1.87235 1.76476 1.76209
0.01 0.016269878 8799.93953369397 4.277211416069906 1.1846000304772741 0.0 -0.01 1.955458992559575 1.00 1.81232 1.84516 1.75051 1.75049
0.01 0.016269878 8897.67831593581 4.284193029399816 1.1995465722388803 0.0 -0.01 1.9677594858564857 1.00 1.78864 1.81668 1.73596 1.73880
0.01 0.016269878 9005.036190762676 4.292272373524037 1.2154747272876656 0.0 -0.01 1.982000779873405 1.00 1.76565 1.78899 1.72195 1.72765
0.01 0.016269877999999998 9114.369492753152 4.3008282775359525 1.2310814266613161 0.0 -0.01 1.9963564477646505 1.00 1.74386 1.76256 1.70906 1.71761
0.01 0.016269877999999998 9229.500904126045 4.309813850669705 1.2472662660179337 0.0 -0.01 2.0120457646172856 1.00 1.72349 1.73787 1.69701 1.70824
0.01 0.016269878 9405.929566501769 4.323243422453162 1.273234295053963 0.0 -0.01 2.042738516345959 1.00 1.69024 1.69840 1.67574 1.69074
0.01 0.016269878 9654.26117400457 4.341424647712435 1.3108436281559976 0.0 -0.01 2.092392277749104 1.00 1.64341 1.64388 1.64377 1.66310
0.01 0.016269878 10119.98131144152 4.3620847844599115 1.3966553237675428 0.0 -0.01 2.214575048025559 1.00 1.52106 1.50938 1.54465 1.57023
0.01 0.016269877999999998 11327.99963874295 4.368983810446151 1.6530510606536655 0.0 -0.01 2.586284488400092 1.00 1.11983 1.08576 1.18506 1.22088
0.01 0.016269878 11600.565964618978 4.368081195569464 1.7102123072873037 0.0 -0.01 2.6769876420837617 1.00 1.02961 0.99164 1.10190 1.13939
0.01 0.016269877999999998 12324.679876627215 4.3635724936739715 1.8591294553552045 0.0 -0.01 2.9299968647880035 1.00 0.79455 0.74740 0.88327 0.92511
0.01 0.016269878 12972.805988916476 4.356913157526273 1.9893078965974333 0.0 -0.01 3.172081545143229 1.00 0.58923 0.53485 0.69084 0.73619
0.01 0.016269877999999998 13501.195476962142 4.351263278693767 2.0915170124926306 0.0 -0.01 3.3770738560532254 1.00 0.43015 0.37035 0.54150 0.58958
0.01 0.016269877999999998 13891.853780079413 4.346157368652665 2.166078444069896 0.0 -0.01 3.535312269384427 1.00 0.31310 0.24946 0.43138 0.48140
0.01 0.016269877999999998 14267.932542630948 4.341164380906937 2.236256141885802 0.0 -0.01 3.691326621991353 1.00 0.20370 0.13653 0.32843 0.38018
0.01 0.016269878 14617.927187480149 4.336360566264943 2.300343663288647 0.0 -0.01 3.8405175985302327 1.00 0.10411 0.03378 0.23467 0.28795
0.01 0.016269877999999998 15140.245216452977 4.329436196698512 2.393166877942795 0.0 -0.01 4.067184515341136 1.00 -0.03971 -0.11460 0.09932 0.15482
0.01 0.016269878 15517.890319406062 4.323422182916092 2.4599870550239613 0.0 -0.01 4.23936286686213 1.00 -0.14407 -0.22213 0.00095 0.05802
0.01 0.016269878 15806.517026831621 4.318784050499929 2.5101779751266715 0.0 -0.01 4.373537645210675 1.00 -0.22266 -0.30309 -0.07315 -0.01491
0.01 0.016269878 16398.15081538165 4.310451394737726 2.6089621950254855 0.0 -0.01 4.649995486672919 1.00 -0.37579 -0.46090 -0.21728 -0.15665
0.01 0.016269878 16740.356091227295 4.304344370336805 2.6665388242636636 0.0 -0.01 4.819838798511966 1.00 -0.46693 -0.55466 -0.30334 -0.24135
0.01 0.016269878 17077.304389313274 4.299022788809946 2.7213090895454326 0.0 -0.01 4.98721137047408 1.00 -0.55295 -0.64321 -0.38445 -0.32112
0.01 0.016269877999999998 17558.091310925833 4.291545432163543 2.7977113571007335 0.0 -0.01 5.230674586139911 1.00 -0.67317 -0.76693 -0.49778 -0.43256
0.01 0.016269878 17972.565380582426 4.284985857382944 2.862305458464991 0.0 -0.01 5.445810220229217 1.00 -0.77529 -0.87200 -0.59411 -0.52729
0.01 0.016269878 18336.92847388476 4.278454488913864 2.91914816632209 0.0 -0.01 5.642951367712249 1.00 -0.86654 -0.96577 -0.68037 -0.61214
0.01 0.016269877999999998 18820.21160289507 4.270643211037823 2.991863138167901 0.0 -0.01 5.90479043302322 1.00 -0.98261 -1.08509 -0.78996 -0.71991
0.01 0.016269877999999998 19103.358263135862 4.265574492374222 3.034454336561163 0.0 -0.01 6.06452578854045 1.00 -1.05148 -1.15583 -0.85512 -0.78400
0.01 0.016269877999999998 19488.94410193814 4.258555873063531 3.0917442288067645 0.0 -0.01 6.285604075394472 1.00 -1.14482 -1.25164 -0.94350 -0.87093
0.01 0.016269877999999998 19849.153663730216 4.251789251974287 3.1447327580211284 0.0 -0.01 6.497534885113982 1.00 -1.23159 -1.34068 -1.02572 -0.95183
0.01 0.016269877999999998 20166.164438065734 4.245029008266158 3.191815498452929 0.0 -0.01 6.691882048251158 4.00 -1.28840 -1.40826 -1.07300 -1.07333
0.01 0.016269878 20456.161507107634 4.238676063326131 3.2346109905590037 0.0 -0.01 6.873734458142041 4.00 -1.36676 -1.48793 -1.14871 -1.14585
0.01 0.016269878 20850.32872832193 4.230740100013065 3.2911926226812223 0.0 -0.01 7.123313219416464 4.00 -1.46995 -1.59287 -1.24835 -1.24124
0.01 0.016269878 21148.5352855049 4.224503451615475 3.3336164485625766 0.0 -0.01 7.3147099290117135 4.00 -1.54764 -1.67186 -1.32341 -1.31313
0.01 0.016269878 21440.06655354538 4.217857374596245 3.375350664342108 0.0 -0.01 7.507572120568165 4.00 -1.62659 -1.75194 -1.40019 -1.38663
0.01 0.016269878 21730.776433377305 4.211191287493428 3.416578578272779 0.0 -0.01 7.703060331963366 4.00 -1.70468 -1.83115 -1.47616 -1.45938
0.01 0.016269877999999998 22025.46634384409 4.2042438774052755 3.458198981372033 0.0 -0.01 7.905649766611384 4.00 -1.78376 -1.91134 -1.55311 -1.53310
0.02 0.016269878 3507.232859534614 4.4383987288643425 -1.387760222892503 0.0 -0.01 0.30069953669691885 0.00 9.01640 10.23130 7.92748 7.46119
0.02 0.016269877999999998 3517.6522916365975 4.438486687570466 -1.3722310707222052 0.0 -0.01 0.3090747533073519 0.00 8.96921 10.17540 7.88394 7.41847
0.02 0.016269878 3527.864947612627 4.438713464024763 -1.3571397842303838 0.0 -0.01 0.3173043120889144 0.00 8.92329 10.12095 7.84158 7.37691
