# age_gyr Z_sur Teff Log_g LogL_lsun Av feh initial_mass Label G G_BP G_RP RVS
0.01 0.015825633999999998 3524.0039960649706 4.2187317261134805 -1.1556683722362382 0.0 -0.03 0.3040113210798709 0.00 8.44942 9.66509 7.36074 6.89642
0.01 0.015825633999999998 3533.7656766817245 4.2197681636161795 -1.1428851331637926 0.0 -0.03 0.3112262584673329 0.00 8.40959 9.61695 7.32436 6.86064
0.01 0.015825633999999995 3543.1780522699887 4.221023657882353 -1.1308023764417177 0.0 -0.03 0.31820354593435424 0.00 8.37178 9.57113 7.28987 6.82673
0.01 0.015825633999999998 3552.735856798781 4.222143368509627 -1.11834676222391 0.0 -0.03 0.32532348027893393 0.00 8.33292 9.52418 7.25447 6.79210
0.01 0.015825633999999998 3561.9743877779547 4.223441530514071 -1.1064908779887377 0.0 -0.03 0.3322409140762243 0.00 8.29574 9.47921 7.22074 6.75932
0.01 0.015825633999999998 3571.0210066144796 4.224773738494163 -1.0948626281326144 0.0 -0.03 0.33908747878903056 0.00 8.25930 9.43515 7.18767 6.72718
0.01 0.015825633999999998 3579.717331043602 4.226298196758497 -1.0838836742623532 0.0 -0.03 0.34571320590342314 0.00 8.22474 9.39328 7.15636 6.69676
0.01 0.015825633999999998 3588.355038157385 4.227855137498512 -1.073010917015463 0.0 -0.03 0.35231084526462714 0.00 8.19052 9.35180 7.12534 6.66662
0.01 0.015825633999999998 3596.855611203074 4.229525282904456 -1.0624575506216583 0.0 -0.03 0.358804514390667 0.00 8.15720 9.31135 7.09518 6.63733
0.01 0.015825633999999998 3605.248940182967 4.231300901360889 -1.0521820604934073 0.0 -0.03 0.3652093251633154 0.00 8.12465 9.27178 7.06575 6.60876
0.01 0.015825633999999998 3613.518607072352 4.233138194917707 -1.0421201657164667 0.0 -0.03 0.3715476688885856 0.00 8.09275 9.23296 7.03691 6.58077
0.01 0.015825633999999998 3621.6159238146624 4.2350878391687345 -1.0324050351602068 0.0 -0.03 0.3777718349022914 0.00 8.06184 9.19528 7.00900 6.55370
0.01 0.015825633999999998 3629.559486846431 4.2371207156379604 -1.0229676808523769 0.0 -0.03 0.3839061307896382 0.00 8.03175 9.15856 6.98185 6.52736
0.01 0.015825633999999998 3637.2251629082566 4.239308280911441 -1.014044258070248 0.0 -0.03 0.38986577776494674 0.00 8.00307 9.12355 6.95613 6.50272
0.01 0.015825633999999998 3644.6921748658806 4.241595837834694 -1.0054668002103475 0.0 -0.03 0.3957105164218082 0.00 7.97540 9.08972 6.93137 6.47906
0.01 0.015825633999999998 3652.603925382603 4.243591139929724 -0.9964556529210212 0.0 -0.03 0.4019402687748369 0.00 7.94635 9.05420 6.90537 6.45423
0.01 0.015825633999999998 3662.8403713779635 4.244028324167194 -0.9841803943383697 0.0 -0.03 0.4100414071373813 0.00 7.90755 9.00721 6.87045 6.42080
0.01 0.015825634 3672.5732397560723 4.244735408353684 -0.972768403920103 0.0 -0.03 0.4177900322437087 0.00 7.87129 8.96315 6.83787 6.38964
0.01 0.015825633999999998 3682.250525834434 4.245422779197996 -0.9613929578803098 0.0 -0.03 0.42552024216021206 0.00 7.83519 8.91933 6.80542 6.35859
0.01 0.015825633999999998 3691.3768639008417 4.246402679641482 -0.9509497029960344 0.0 -0.03 0.43287029940868926 0.00 7.80182 8.87868 6.77550 6.33000
0.01 0.015825633999999998 3700.318693303578 4.247494026776514 -0.9408542237949999 0.0 -0.03 0.44007682874108184 0.00 7.76947 8.83921 6.74652 6.30232
0.01 0.015825634 3708.8023866802864 4.248822231975516 -0.9315223553216242 0.0 -0.03 0.446971695322075 0.00 7.73938 8.80235 6.71962 6.27665
0.01 0.015825633999999998 3717.206647203231 4.250076886231508 -0.9221519940748473 0.0 -0.03 0.4538780658245114 0.00 7.70930 8.76568 6.69271 6.25105
0.01 0.015825634 3725.342396071121 4.251409023536083 -0.9131349002176727 0.0 -0.03 0.4606382185671173 0.00 7.68042 8.73067 6.66692 6.22682
0.01 0.015825633999999998 3733.1433941882597 4.252927839367956 -0.9046979926216753 0.0 -0.03 0.46716160743107016 0.00 7.65324 8.69763 6.64270 6.20410
0.01 0.015825634 3740.5930718888244 4.254636172786332 -0.896856904626945 0.0 -0.03 0.4734419247716274 0.00 7.62781 8.66659 6.62009 6.18291
0.01 0.015825633999999998 3747.7774694311092 4.2564686520458785 -0.8894372305767222 0.0 -0.03 0.47954948181660806 0.00 7.60362 8.63701 6.59862 6.16283
0.01 0.015825633999999998 3755.013488595926 4.2582228098024295 -0.8818644821835221 0.0 -0.03 0.4857161118298966 0.00 7.57905 8.60703 6.57678 6.14237
0.01 0.015825633999999998 3761.8317340850813 4.2601870517310205 -0.8749684958710694 0.0 -0.03 0.49160690380780075 0.00 7.55646 8.57935 6.55676 6.12366
0.01 0.015825634 3768.342244534603 4.262228866238452 -0.8684479820452196 0.0 -0.03 0.4973425629021583 0.00 7.53505 8.55308 6.53780 6.10595
0.01 0.015825634 3787.609567454323 4.265423835666655 -0.8489192221673821 0.0 -0.03 0.5142570850722779 0.00 7.47154 8.47540 6.48145 6.05324
0.01 0.015825633999999998 3820.9204763303487 4.269477558630743 -0.8148162589553919 0.0 -0.03 0.5432355505213026 0.00 7.36212 8.34306 6.38401 5.96271
0.01 0.015825633999999998 3854.822913089417 4.273611433236793 -0.7803570277310186 0.0 -0.03 0.5725952518889763 0.00 7.25228 8.21114 6.28605 5.87219
0.01 0.015825633999999998 3911.1068325472515 4.278852891597975 -0.7247964594404235 0.0 -0.03 0.6207950500953134 0.00 7.07473 7.99797 6.12801 5.72690
0.01 0.015825633999999998 3941.3027298304446 4.281230843465375 -0.6964913794428851 0.0 -0.03 0.646670189330523 0.00 6.98355 7.88841 6.04720 5.65334
0.01 0.015825634 3975.118267514847 4.284409814763826 -0.6653749831294353 0.0 -0.03 0.6757295923608508 0.00 6.88312 7.76763 5.95826 5.57244
0.01 0.015825633999999998 4009.2078315664276 4.28742399931374 -0.634739978874063 0.0 -0.03 0.7044262595799028 0.00 6.78488 7.65006 5.87132 5.49384
0.01 0.015825634 4032.6646722372398 4.2874074120315955 -0.6141460706134471 0.0 -0.03 0.7224341895752839 0.00 6.71886 7.57096 5.81302 5.44126
0.01 0.015825634 4058.5268482087004 4.288179278340529 -0.5918658952424976 0.0 -0.03 0.7430349463953914 0.00 6.64720 7.48498 5.74980 5.38432
0.01 0.015825634 4086.744009575143 4.289658977090379 -0.5678758448020306 0.0 -0.03 0.7661997311901876 0.00 6.57019 7.39299 5.68177 5.32312
0.01 0.015825633999999998 4117.874081481623 4.291961862945104 -0.5418064793956892 0.0 -0.03 0.7923925946968998 0.00 6.48671 7.29378 5.60793 5.25676
0.01 0.015825634 4167.588990421408 4.292407709133474 -0.501789598880755 0.0 -0.03 0.8297224231102678 0.00 6.35782 7.13993 5.49435 5.15502
0.01 0.015825633999999998 4233.136992429725 4.292842084068894 -0.4499018617725282 0.0 -0.03 0.8790109775706262 0.00 6.19069 6.94041 5.34784 5.02455
0.01 0.015825634 4285.799441034784 4.291240575804431 -0.40959949603509843 0.0 -0.03 0.9141755404079724 0.00 6.06077 6.78498 5.23435 4.92366
0.01 0.015825633999999998 4327.4908599182945 4.289093811035013 -0.37879317598435636 0.0 -0.03 0.9400560777074818 0.00 5.96150 6.66603 5.14803 4.84703
0.01 0.015825633999999998 4376.048849308658 4.288324133243635 -0.3434554794958188 0.0 -0.03 0.9732397126213582 0.00 5.84768 6.53002 5.04893 4.75875
0.01 0.015825633999999998 4448.884446629285 4.2858595007068105 -0.2934463012900901 0.0 -0.03 1.01600248248959 0.00 5.68588 6.33751 4.90820 4.63218
0.01 0.015825633999999998 4523.542174689247 4.2808770805602965 -0.24491220630238475 0.0 -0.03 1.0513749084719404 0.00 5.52949 6.15180 4.77268 4.50867
0.01 0.015825633999999998 4576.227162675526 4.278452118571833 -0.2106856313909403 0.0 -0.03 1.0796066958232038 0.00 5.42033 6.02287 4.67784 4.42153
0.01 0.015825633999999998 4686.115949981385 4.271753169703078 -0.1428921471613616 0.0 -0.03 1.1302508790822097 0.00 5.20883 5.77471 4.49434 4.25071
0.01 0.015825634 4854.792047556288 4.259450451192821 -0.043381884424124835 0.0 -0.03 1.198465033758625 0.00 4.90600 5.42266 4.23149 4.00391
0.01 0.015825633999999998 4865.858194932636 4.258339272515839 -0.03678403035433947 0.0 -0.03 1.202736798360874 0.00 4.88633 5.40002 4.21431 3.98773
0.01 0.015825633999999998 5030.865806163511 4.238635313872776 0.06112105868659544 0.0 -0.03 1.2610416403931566 0.00 4.59992 5.07201 3.96383 3.75114
0.01 0.015825633999999998 5149.2225202396085 4.224114848752431 0.12954709504815784 0.0 -0.03 1.2999054078294674 0.00 4.40436 4.85062 3.79161 3.58799
0.01 0.015825633999999998 5217.1340851065015 4.211427556677391 0.17203054766356551 0.0 -0.03 1.3217554741289297 0.00 4.28590 4.71828 3.68600 3.48745
0.01 0.015825633999999998 5279.219847003971 4.199502611315945 0.21069188263007071 0.0 -0.03 1.3409739055719239 0.00 4.17898 4.59920 3.59050 3.39647
0.01 0.015825633999999998 5335.6693319862525 4.188316530901664 0.24574322022496936 0.0 -0.03 1.3577166874065771 0.00 4.08284 4.49241 3.50451 3.31450
0.01 0.015825633999999998 5387.945568978114 4.177631035315557 0.27817043190395446 0.0 -0.03 1.372644719992199 0.00 3.99431 4.39411 3.42538 3.23914
