# age_gyr Z_sur Teff Log_g LogL_lsun Av feh initial_mass Label G G_BP G_RP RVS
0.01 0.009384096 3644.6387559689524 4.2664239962222394 -1.1472982004744625 0.0 -0.32 0.30208242390863577 0.00 8.25660 9.31271 7.23865 6.79490
0.01 0.009384096 3654.953441680149 4.266963303431861 -1.1334623843503053 0.0 -0.32 0.30965868624968085 0.00 8.21465 9.26327 7.20045 6.75875
0.01 0.009384096 3665.0267366340877 4.267646989222069 -1.120100879546234 0.0 -0.32 0.3170735165278964 0.00 8.17407 9.21538 7.16352 6.72380
0.01 0.009384096 3674.930162893815 4.268436344379529 -1.1070829704326166 0.0 -0.32 0.32437268032545735 0.00 8.13447 9.16862 7.12750 6.68974
0.01 0.009384096 3684.5936154135034 4.269342542446962 -1.0944865651025846 0.0 -0.32 0.33152865111157875 0.00 8.09611 9.12328 7.09262 6.65676
0.01 0.009384096 3694.0737747207027 4.2703500551241875 -1.0822344732114966 0.0 -0.32 0.3385686894690113 0.00 8.05874 9.07909 7.05866 6.62467
0.01 0.009384095999999998 3703.335942288863 4.271529124963734 -1.0704796710178741 0.0 -0.32 0.3454390137739626 0.00 8.02277 9.03646 7.02602 6.59384
0.01 0.009384096 3712.313142595545 4.27282464733141 -1.0591803499166987 0.0 -0.32 0.35215339746651564 0.00 7.98814 8.99540 6.99460 6.56419
0.01 0.009384096 3721.12994709356 4.274170666807461 -1.0481129270862 0.0 -0.32 0.35879064919342507 0.00 7.95452 8.95587 6.96403 6.53546
0.01 0.009384095999999998 3729.7435891245927 4.275664035691976 -1.0374835910621034 0.0 -0.32 0.36527874679899663 0.00 7.92229 8.91807 6.93472 6.50799
0.01 0.009384096 3738.087849182071 4.277304900991599 -1.0273479460896564 0.0 -0.32 0.3715973670491552 0.00 7.89147 8.88187 6.90672 6.48177
0.01 0.009384096 3746.4010356303306 4.278931606484761 -1.0172181065982209 0.0 -0.32 0.37791847044350924 0.00 7.86069 8.84575 6.87875 6.45558
0.01 0.009384096000000001 3754.449733443485 4.280703506812988 -1.0075720976591473 0.0 -0.32 0.38407332577712877 0.00 7.83129 8.81119 6.85206 6.43061
0.01 0.009384096 3762.317168299103 4.282555437897025 -0.9982238638732059 0.0 -0.32 0.39012727504076183 0.00 7.80275 8.77762 6.82617 6.40639
0.01 0.009384095999999998 3769.8407782994122 4.284607536857349 -0.9895215490918727 0.0 -0.32 0.3959573356298287 0.00 7.77604 8.74610 6.80198 6.38381
0.01 0.009384096 3778.1961775612926 4.286187621653911 -0.9797907948708489 0.0 -0.32 0.4024909655210426 0.00 7.74629 8.71104 6.77502 6.35862
0.01 0.009384096 3788.50380410838 4.2865523199658115 -0.9674502221048126 0.0 -0.32 0.41071753203946054 0.00 7.70890 8.66715 6.74105 6.32682
0.01 0.009384096000000001 3798.524752626145 4.287005457062004 -0.9555042434943105 0.0 -0.32 0.41877673808517346 0.00 7.67269 8.62464 6.70816 6.29602
0.01 0.009384095999999998 3808.3923125947613 4.287487668383303 -0.9437513355865449 0.0 -0.32 0.4267513978386471 0.00 7.63723 8.58320 6.67596 6.26608
0.01 0.009384096000000001 3817.744759003976 4.28823211037145 -0.9328481656582318 0.0 -0.32 0.4343737020185796 0.00 7.60426 8.54470 6.64609 6.23845
0.01 0.009384096 3826.7614905836012 4.289107556675474 -0.9224399536725393 0.0 -0.32 0.4417884553456045 0.00 7.57274 8.50785 6.61755 6.21205
0.01 0.009384096 3835.3715093026444 4.290184011920371 -0.9126929321659778 0.0 -0.32 0.4489283842697471 0.00 7.54312 8.47315 6.59076 6.18731
0.01 0.009384096 3843.9778903410333 4.29118741452223 -0.9028508858867967 0.0 -0.32 0.4561017138666851 0.00 7.51327 8.43825 6.56375 6.16234
0.01 0.009384096 3852.190961786473 4.292361862180829 -0.89360777404167 0.0 -0.32 0.4630255031260358 0.00 7.48516 8.40532 6.53833 6.13887
0.01 0.009384096000000001 3860.082353623988 4.293674691153113 -0.8848537598437289 0.0 -0.32 0.46974491604552826 0.00 7.45846 8.37400 6.51421 6.11662
0.01 0.009384096 3867.771738770985 4.295121299898714 -0.8764884769060595 0.0 -0.32 0.47630237406440307 0.00 7.43286 8.34391 6.49112 6.09534
0.01 0.009384096 3875.318626652488 4.296643816853827 -0.868371827183646 0.0 -0.32 0.4827546033171639 0.00 7.40797 8.31462 6.46868 6.07469
0.01 0.009384096000000001 3882.722609662679 4.298238279755584 -0.8604968108907716 0.0 -0.32 0.489104502566263 0.00 7.38377 8.28612 6.44688 6.05463
0.01 0.009384096 3889.896279572075 4.2999480876236245 -0.8529989509455559 0.0 -0.32 0.4952968853143929 0.00 7.36064 8.25885 6.42608 6.03552
0.01 0.009384095999999998 3980.414091992748 4.308660394830519 -0.7596210671422912 0.0 -0.32 0.5727084630926724 0.00 7.07831 7.92971 6.17072 5.80019
0.01 0.009384096 4023.050547443762 4.310201015160403 -0.7164864537254199 0.0 -0.32 0.6068061722734113 0.00 6.94797 7.77796 6.05321 5.69236
0.01 0.009384096 4038.3377808416376 4.309144200602521 -0.7015957846867666 0.0 -0.32 0.6176285608335648 0.00 6.90281 7.72515 6.01264 5.65524
0.01 0.009384096 4055.024656703613 4.3086517525658845 -0.6856156993206227 0.0 -0.32 0.6300626221203176 0.00 6.85421 7.66823 5.96902 5.61536
0.01 0.009384096 4073.8254466864933 4.308987842995623 -0.6681470094254273 0.0 -0.32 0.6446549727240479 0.00 6.80078 7.60551 5.92117 5.57172
0.01 0.009384096 4094.3419281268602 4.309899516820458 -0.6493766544233569 0.0 -0.32 0.6610191096445882 0.00 6.74367 7.53888 5.86998 5.52491
